pandas.index,filename,doi,title,level,section,nchar,status,parser,coordinates,end_char,score,start_char,text,type
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,title,title,58,False,spacy
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,abstract,abstract,1106,False,spacy
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,spacy,"53.57911,6.95262",299,20.948225,296,the Wadden Sea,LOC
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,spacy,"-22.92369,-43.1073",378,13.147197,375,San Francisco Bay,LOC
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,spacy,"5.85321,-72.54496",383,14.789843,382,Australia,GPE
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,spacy,"37.75049,-122.75165",392,27.286736,387,The Gulf of the Farallones,LOC
4,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,spacy,"53.57911,6.95262",397,20.948225,394,the Wadden Sea,LOC
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy,"-22.92369,-43.1073",123,13.147197,120,San Francisco Bay,LOC
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy,"-18,-63.13333",132,11.77186,131,Gulf,LOC
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy,"5.85321,-72.54496",147,14.789843,146,Australia,GPE
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy,"53.57911,6.95262",351,20.948225,348,the Wadden Sea,LOC
4,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy,"53.57911,6.95262",373,20.948225,370,the Wadden Sea,LOC
5,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy,"53.57911,6.95262",534,20.948225,531,the Wadden Sea,LOC
6,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy,"53.57911,6.95262",776,20.948225,773,the Wadden Sea,LOC
7,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy,"53.57911,6.95262",898,20.948225,895,the Wadden Sea,LOC
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Discussion,5718,True,spacy,"44.09284,12.52924",500,11.116045,499,California,GPE
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Discussion,5718,True,spacy,"44.5723,-67.31026",608,17.349514,604,the Gulf of Maine,LOC
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Discussion,5718,True,spacy,"-18,-63.13333",631,11.77186,630,Gulf,LOC
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Discussion,5718,True,spacy,"44.5723,-67.31026",874,17.349514,870,the Gulf of Maine,LOC
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,spacy,"-22.92369,-43.1073",190,13.147197,187,San Francisco Bay,LOC
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,spacy,"5.85321,-72.54496",203,14.789843,202,Australia,GPE
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,spacy,"53.57911,6.95262",218,20.948225,215,the Wadden Sea,LOC
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,spacy,"37.75049,-122.75165",243,27.286736,235,the Gulf of the Farallones National Marine Sanctuary,LOC
4,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,spacy,"38.51518,-121.43412",246,12.90288,244,Northern California,LOC
5,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,spacy,"53.57911,6.95262",276,20.948225,273,the Wadden Sea,LOC
6,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,spacy,"53.57911,6.95262",335,20.948225,332,the Wadden Sea,LOC
7,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,spacy,"53.57911,6.95262",387,20.948225,385,Wadden Sea,LOC
8,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Methods,6119,True,spacy,"53.57911,6.95262",399,20.948225,397,Wadden Sea,LOC
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Supporting Information,1430,True,spacy,"-22.92369,-43.1073",52,13.147197,49,San Francisco Bay,LOC
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Supporting Information,1430,True,spacy,"37.75049,-122.75165",102,27.286736,94,the Gulf of the Farallones National Marine Sanctuary,LOC
